Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
Lexus,2010,Foreign Used,193624,3500,Petrol,Automatic,6032000,
Lexus,2005,Foreign Used,124007,3300,Petrol,Automatic,3150000,
Toyota,2015,Foreign Used,261250,2500,Petrol,Automatic,6300000,
Mercedes-Benz,2014,Nigerian Used,51111,2000,Petrol,Automatic,8320000,
Mercedes-Benz,2018,Foreign Used,115896,3500,Petrol,Automatic,24150000,SUV
Mercedes-Benz,2004,Foreign Used,204436,2600,Petrol,Automatic,3675000,
Mercedes-Benz,2012,Foreign Used,280554,3500,Petrol,Automatic,9360000,
Toyota,2012,Foreign Used,373365,2500,Petrol,Automatic,4725000,
Mercedes-Benz,2018,Foreign Used,56263,3000,Petrol,Automatic,52000000,SUV
Mercedes-Benz,2007,Nigerian Used,110228,4500,Petrol,Automatic,5200000,SUV
Toyota,2009,Foreign Used,104917,2400,Petrol,Automatic,3465000,
Mercedes-Benz,2013,Foreign Used,225174,3500,Petrol,Automatic,13520000,SUV
Lexus,2007,Foreign Used,203757,3500,Petrol,Automatic,4576000,
Lexus,2005,Foreign Used,123282,3000,Petrol,Automatic,3150000,
Toyota,2012,Foreign Used,172079,2500,Petrol,Automatic,5250000,
Toyota,2015,Nigerian Used,47602,3500,Petrol,Automatic,9660000,SUV
Toyota,2017,Foreign Used,78320,2500,Petrol,Automatic,7035000,
Toyota,2009,Foreign Used,104917,2400,Petrol,Automatic,3465000,
Lexus,2007,Foreign Used,203757,3500,Petrol,Automatic,4576000,
Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,4515000,
Toyota,2014,Foreign Used,115296,3500,Petrol,Automatic,15600000,SUV
Lexus,2008,Nigerian Used,142273,3500,Petrol,Automatic,4680000,SUV
Land Rover,2018,Foreign Used,59656,3000,Diesel,Automatic,42000000,SUV
Mercedes-Benz,2009,Nigerian Used,100337,4600,Petrol,Automatic,4472000,SUV
Toyota,2011,Foreign Used,145489,2500,Petrol,Automatic,3885000,
Toyota,2019,Foreign Used,63646,2500,Petrol,Automatic,16800000,SUV
Mercedes-Benz,2004,Foreign Used,204436,2600,Petrol,Automatic,3675000,
Land Rover,2006,Foreign Used,118872,3500,Petrol,Automatic,3150000,SUV
Toyota,2015,Foreign Used,150157,2700,Petrol,Automatic,10400000,SUV
Mercedes-Benz,2015,Nigerian Used,61515,3500,Petrol,Automatic,14560000,SUV
Toyota,2012,Nigerian Used,47180,2700,Petrol,Automatic,14560000,SUV
Toyota,2011,Foreign Used,185047,2500,Petrol,Automatic,4200000,
Toyota,2009,Foreign Used,127674,2700,Petrol,Automatic,7140000,
Lexus,2007,Foreign Used,110621,2500,Petrol,Automatic,4095000,
Lexus,2008,Foreign Used,73213,2500,Petrol,Automatic,3360000,
Lexus,2004,Foreign Used,272206,4700,Petrol,Automatic,11440000,SUV
Lexus,2008,Foreign Used,227424,2500,Petrol,Automatic,4472000,
Mercedes-Benz,,,226924,,,Automatic,6394000,
Lexus,2006,Nigerian Used,160209,2500,Petrol,Automatic,4160000,
Mercedes-Benz,2017,Foreign Used,62879,2000,Petrol,Automatic,13650000,
Mercedes-Benz,2011,Nigerian Used,101316,3500,Petrol,Automatic,5720000,
Lexus,2006,Nigerian Used,210014,4700,Petrol,Automatic,4160000,SUV
Mercedes-Benz,2015,Nigerian Used,61515,3500,Petrol,Automatic,14560000,SUV
Toyota,2015,Nigerian Used,37591,3500,Petrol,Automatic,12480000,SUV
Mercedes-Benz,2009,Foreign Used,232438,3500,Petrol,Automatic,6300000,SUV
Toyota,2011,Foreign Used,317231,2400,Petrol,Automatic,4472000,
Toyota,2012,Foreign Used,325938,2500,Petrol,Automatic,5250000,
Mercedes-Benz,2012,Foreign Used,148637,3500,Petrol,Automatic,13000000,SUV
Toyota,2009,Nigerian Used,149599,3500,Petrol,Automatic,5200000,SUV
Toyota,2015,Foreign Used,354563,2400,Petrol,Manual,15750000,
Lexus,2007,Foreign Used,260907,3500,Petrol,Automatic,3885000,
Toyota,2011,Foreign Used,89330,3500,Petrol,Automatic,7875000,
Acura,2007,Foreign Used,196814,3700,Petrol,Automatic,3570000,SUV
Lexus,2006,Nigerian Used,154378,,,,4725000,
Lexus,2006,Nigerian Used,157518,3300,Petrol,Automatic,4160000,SUV
Toyota,2016,Foreign Used,149753,2500,Hybrid,Automatic,5985000,
Lexus,2018,Foreign Used,47581,20,Petrol,Automatic,15750000,
Acura,2008,Nigerian Used,174107,3700,Petrol,Automatic,3744000,SUV
Acura,2007,Foreign Used,142822,2300,Petrol,Automatic,3570000,
Mercedes-Benz,2011,Foreign Used,203172,3500,Petrol,Automatic,4410000,
Land Rover,2008,Foreign Used,418613,4400,Petrol,Automatic,5250000,SUV
Toyota,2013,Nigerian Used,103941,2700,Petrol,Automatic,12480000,SUV
Toyota,,,81648,,,Automatic,7290000,
Lincoln,2008,Foreign Used,186615,3500,Petrol,Automatic,3990000,SUV
Mercedes-Benz,2010,Foreign Used,149647,3500,Petrol,Automatic,8112000,SUV
Mercedes-Benz,2011,Nigerian Used,73624,3500,Petrol,Automatic,5250000,SUV
Land Rover,2013,Nigerian Used,70430,2000,Petrol,Automatic,9360000,SUV
Toyota,2011,Foreign Used,244495,3500,Petrol,Automatic,6090000,
Toyota,2013,Foreign Used,135027,2500,Petrol,Automatic,5616000,
Mercedes-Benz,,,144059,,,Automatic,4490000,
Toyota,2006,Foreign Used,389832,3500,Petrol,Automatic,3045000,
Mercedes-Benz,2009,Foreign Used,232438,3500,Petrol,Automatic,6300000,SUV
Land Rover,2010,Nigerian Used,140366,50000,Petrol,Automatic,4200000,SUV
Mercedes-Benz,,,109703,,,Automatic,5610000,
Land Rover,2008,Nigerian Used,178780,4700,Petrol,Automatic,3150000,SUV
Lexus,2002,Foreign Used,132618,3000,Petrol,Automatic,3328000,
Mercedes-Benz,,,91151,,,Automatic,6170000,
Mercedes-Benz,2010,Nigerian Used,220223,3000,Petrol,Automatic,4680000,
Toyota,2009,Foreign Used,124609,3500,Petrol,Automatic,5775000,SUV
Land Rover,2013,Nigerian Used,76069,4500,Petrol,Automatic,4200000,SUV
Lexus,2004,Foreign Used,158812,3300,Petrol,Automatic,5408000,
Lexus,2003,Foreign Used,239713,4700,Petrol,Automatic,5565000,SUV
Toyota,2015,Foreign Used,147257,2500,Petrol,Automatic,6615000,
Lexus,2010,Nigerian Used,114626,3500,Hybrid,Automatic,6760000,SUV
Lexus,2007,Foreign Used,151892,3500,Petrol,Automatic,5200000,
Toyota,2016,Foreign Used,61068,2500,Petrol,Automatic,7245000,
Land Rover,2016,Foreign Used,70973,2000,Petrol,Automatic,11550000,
Lexus,2008,Foreign Used,155216,3500,Petrol,Automatic,4888000,
Toyota,2011,Nigerian Used,235681,3500,Petrol,Automatic,8528000,
Mercedes-Benz,,,77475,,,Automatic,3395000,
Toyota,2012,Foreign Used,125026,3500,Petrol,Automatic,8715000,SUV
Lexus,2004,Nigerian Used,,33000,Petrol,Automatic,3045000,SUV
Toyota,2011,Foreign Used,244495,3500,Petrol,Automatic,6090000,
Mercedes-Benz,2020,Foreign Used,20106,2000,Petrol,Automatic,58800000,SUV
Toyota,2015,Foreign Used,354563,2400,Petrol,Manual,15750000,
